pH,logk
0.981027766,-4.326641339
1.139514446,-4.293365406
1.329765206,-4.274302913
1.467379215,-4.326408746
1.636575274,-4.335813584
1.319662591,-4.421336928
1.256468151,-4.497253181
1.362454601,-4.577831401
1.617143666,-4.871767965
1.850080253,-4.975999857
1.871499012,-5.061361398
2.27308557,-5.00425482
2.3897814,-5.127513811
2.568973891,-4.956684546
2.791367959,-5.070407233
2.949915315,-5.056102779
2.928420711,-4.94702689
2.833128471,-4.904386571
3.195908381,-4.782597584
3.261014984,-4.818200383
3.282471981,-4.753401148
3.282337292,-4.711288379
3.405546668,-4.850525749
3.974742487,-4.445322451
4.025157625,-4.403185508
3.945546051,-4.348152954
4.198336629,-4.360989854
4.306585163,-4.338261944
4.465290277,-4.286354866
4.544653194,-4.263640771
4.696323397,-4.270047133
4.595617449,-4.393194345
4.67502181,-4.383438025
4.769014028,-4.419027009
5.093759628,-4.350843281
5.144081519,-4.279551344
5.194973249,-4.386428812
5.381942337,-4.140141296
5.562871141,-4.263153818
5.685676449,-4.276052883
5.664146927,-4.318176012
5.671482298,-4.353806439
5.8953769,-4.36341771
5.851571885,-4.21442402
6.126192446,-4.279081659
6.154870848,-4.21427897
6.255960141,-4.210991176
6.263326595,-4.256339935
6.335592437,-4.272502618
6.414810305,-4.204436311
6.776025549,-4.249615844
6.905813965,-4.188004249
6.906269836,-4.330539773
7.310274746,-4.207247512
7.389886321,-4.262280066
7.411747385,-4.323819136
7.555947528,-4.252482303
7.52687542,-4.19418613
7.432655266,-4.087329384
8.118854405,-4.138832395
8.176563472,-4.119368104
8.140674027,-4.18741369
8.220119831,-4.190615144
8.37889747,-4.161384172
8.306590185,-4.132263715
8.486855904,-4.047951839
8.732435439,-4.064031636
8.934095991,-3.895483862
9.208208878,-3.801408759
9.193558857,-3.736626791
9.489636415,-3.736485195
9.431367871,-3.581019525
9.532467525,-3.580971175
9.662141974,-3.483725699
9.654806603,-3.448095272
9.864206594,-3.441516231
9.914455961,-3.347548188
10.10241968,-3.41224727
10.5994429,-3.020036283
10.56981131,-2.786810148
10.8009584,-2.806136297
10.6773864,-2.553518397
10.87953391,-2.537224478
10.99421643,-2.268295392
